business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,neighborhoods,sf_find_neighborhoods,current_police_districts,current_supervisor_districts,analysis_neighborhoods
33468,Stacks Restaurant,501 Hayes St,San Francisco,CA,94102,37.776623,-122.424787,POINT (-122.424787 37.776623),Unknown,33468_20190521,2019-05-21,90.0,Routine - Unscheduled,33468_20190521_103131,Moderate risk vermin infestation,Moderate Risk,22.0,22.0,4.0,11.0,9.0
19205,Woodhouse Fish Company,2073 MARKET St,San Francisco,CA,94114,37.767631,-122.428569,POINT (-122.428569 37.767631),Unknown,19205_20190919,2019-09-19,94.0,Routine - Unscheduled,19205_20190919_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,37.0,37.0,3.0,5.0,5.0
32170,La Torta Gorda,2833 24th St,San Francisco,CA,94110,37.752813,-122.408799,POINT (-122.408799 37.752813),Unknown,32170_20190405,2019-04-05,84.0,Routine - Unscheduled,32170_20190405_103147,Inadequate ventilation or lighting,Low Risk,53.0,53.0,3.0,2.0,20.0
2110,A La Turca,869 Geary St,San Francisco,CA,94109,37.786143,-122.417617,POINT (-122.417617 37.786143),Unknown,2110_20180205,2018-02-05,81.0,Routine - Unscheduled,2110_20180205_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,20.0,20.0,6.0,10.0,36.0
37232,Cafe Luna,3313 SACRAMENTO St,San Francisco,CA,94118,37.788123,-122.447197,POINT (-122.447197 37.788123),Unknown,37232_20181116,2018-11-16,91.0,Routine - Unscheduled,37232_20181116_103144,Unapproved or unmaintained equipment or utensils,Low Risk,10.0,10.0,8.0,6.0,31.0
35221,Golden Flower Vietnamese Restaurant,667 Jackson St,San Francisco,CA,94133,37.796026,-122.406202,POINT (-122.406202 37.796026),Unknown,35221_20171108,2017-11-08,79.0,Routine - Unscheduled,35221_20171108_103147,Inadequate ventilation or lighting,Low Risk,104.0,104.0,6.0,3.0,6.0
4732,Bread & Butter Market,888 O'FARRELL St,San Francisco,CA,94109,37.785068,-122.418983,POINT (-122.418983 37.785068),Unknown,4732_20180516,2018-05-16,96.0,Routine - Unscheduled,4732_20180516_103154,Unclean or degraded floors walls or ceilings,Low Risk,20.0,20.0,5.0,10.0,36.0
19082,Moscone Ctr. Northside Cafe/Cafe D,747 Howard St Basement,San Francisco,CA,94103,37.784128,-122.401533,POINT (-122.401533 37.784128),Unknown,19082_20190423,2019-04-23,92.0,Routine - Unscheduled,19082_20190423_103131,Moderate risk vermin infestation,Moderate Risk,32.0,32.0,1.0,10.0,34.0
884,House Of Nanking,919 Kearny St,San Francisco,CA,94133,37.796463,-122.405224,POINT (-122.405224 37.796463),Unknown,884_20161005,2016-10-05,83.0,Routine - Unscheduled,884_20161005_103157,Food safety certificate or food handler card not available,Low Risk,104.0,104.0,6.0,3.0,6.0
35591,The Monk'S Kettle,3141 16TH St,San Francisco,CA,94103,37.764814,-122.422979,POINT (-122.422979 37.764814),14155869523.0,35591_20190717,2019-07-17,89.0,Routine - Unscheduled,35591_20190717_103103,High risk food holding temperature,High Risk,37.0,37.0,3.0,5.0,20.0
2764,Al-Hamra,3083 16th St,San Francisco,CA,94103,37.764913,-122.421349,POINT (-122.421349 37.764913),Unknown,2764_20171129,2017-11-29,78.0,Routine - Unscheduled,2764_20171129_103133,Foods not protected from contamination,Moderate Risk,53.0,53.0,3.0,2.0,20.0
36875,Daffodil C/O Orchard Hotel,665 Bush St,San Francisco,CA,94108,37.790184,-122.408468,POINT (-122.408468 37.790184),Unknown,36875_20170609,2017-06-09,93.0,Routine - Unscheduled,36875_20170609_103105,Improper cooling methods,High Risk,19.0,19.0,6.0,3.0,8.0
20367,Manila Oriental Market,4175 MISSION St,San Francisco,CA,94112,37.730569,-122.429418,POINT (-122.429418 37.730569),Unknown,20367_20171117,2017-11-17,76.0,Routine - Unscheduled,20367_20171117_103154,Unclean or degraded floors walls or ceilings,Low Risk,94.0,94.0,9.0,1.0,7.0
57653,Tacos San Buena #2,79 Sansome St,San Francisco,CA,Unknown,None,None,None,14155556127.0,57653_20170722,2017-07-22,83.0,Routine - Unscheduled,57653_20170722_103143,Inadequate warewashing facilities or equipment,Low Risk,,,,,
63971,Munchboxx,643 Clay St,San Francisco,CA,94111,37.794554,-122.403827,POINT (-122.403827 37.794554),14155514286.0,63971_20190429,2019-04-29,88.0,Routine - Unscheduled,63971_20190429_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,104.0,104.0,6.0,3.0,6.0
4986,Seniore'S Pizza,2415 19th Ave,San Francisco,CA,94116,37.742728,-122.475714,POINT (-122.475714 37.742728),Unknown,4986_20170522,2017-05-22,88.0,Routine - Unscheduled,4986_20170522_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,40.0,40.0,10.0,7.0,35.0
59044,Taqueria Cazadores,1600 C Mission St,San Francisco,CA,94110,37.749851,-122.415121,POINT (-122.415121 37.749851),14156781286.0,59044_20180122,2018-01-22,78.0,Routine - Unscheduled,59044_20180122_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,53.0,53.0,3.0,2.0,20.0
37656,Jack In The Box #558,4649 GEARY Blvd,San Francisco,CA,94118,37.780713,-122.469299,POINT (-122.469299 37.780713),Unknown,37656_20170714,2017-07-14,96.0,Routine - Unscheduled,37656_20170714_103154,Unclean or degraded floors walls or ceilings,Low Risk,5.0,5.0,8.0,4.0,11.0
36474,The Sentinel,35 New Montgomery St,San Francisco,CA,94104,37.788327,-122.401444,POINT (-122.401444 37.788327),Unknown,36474_20190422,2019-04-22,80.0,Routine - Unscheduled,36474_20190422_103157,Food safety certificate or food handler card not available,Low Risk,108.0,108.0,6.0,10.0,8.0
64814,My Ivy Corp.,1901 DIVISADERO St,San Francisco,CA,94115,37.787323,-122.440323,POINT (-122.440323 37.787323),Unknown,64814_20170509,2017-05-09,82.0,Routine - Unscheduled,64814_20170509_103133,Foods not protected from contamination,Moderate Risk,103.0,103.0,4.0,6.0,30.0
2437,Manora'S Thai Cuisine,1600 FOLSOM St,San Francisco,CA,94103,37.770748,-122.415137,POINT (-122.415137 37.770748),Unknown,2437_20161128,2016-11-28,80.0,Routine - Unscheduled,2437_20161128_103153,Inadequate dressing rooms or improper storage of personal items,Low Risk,32.0,32.0,1.0,10.0,20.0
45,Charlie'S Deli Cafe,3202 FOLSOM St,San Francisco,CA,94110,37.747114,-122.413641,POINT (-122.413641 37.747114),Unknown,45_20180529,2018-05-29,88.0,Routine - Unscheduled,45_20180529_103142,Unclean nonfood contact surfaces,Low Risk,83.0,83.0,9.0,2.0,2.0
17762,Patxi'S Chicago Pizza,511 Hayes St,San Francisco,CA,94102,37.776593,-122.425017,POINT (-122.425017 37.776593),Unknown,17762_20161011,2016-10-11,82.0,Routine - Unscheduled,17762_20161011_103159,Worker safety hazards,Low Risk,22.0,22.0,4.0,11.0,9.0
2926,Luques Restaurant & Bar,433 Powell St,San Francisco,CA,94102,37.788673,-122.408524,POINT (-122.408524 37.788673),Unknown,2926_20170316,2017-03-16,82.0,Routine - Unscheduled,2926_20170316_103133,Foods not protected from contamination,Moderate Risk,19.0,19.0,6.0,3.0,21.0
1296,Taqueria El Buen Sabor,699 VALENCIA St,San Francisco,CA,94112,37.761743,-122.421492,POINT (-122.421492 37.761743),14155588745.0,1296_20181025,2018-10-25,81.0,Routine - Unscheduled,1296_20181025_103139,Improper food storage,Low Risk,53.0,53.0,3.0,2.0,20.0
1005,Chavita'S Mexican Restaurant,3006 MISSION St,San Francisco,CA,94110,37.748855,-122.418134,POINT (-122.418134 37.748855),14155286927.0,1005_20170713,2017-07-13,78.0,Routine - Unscheduled,1005_20170713_103144,Unapproved or unmaintained equipment or utensils,Low Risk,53.0,53.0,3.0,2.0,20.0
63763,Wild Pepper,3601 26th St,San Francisco,CA,94110,37.748813,-122.421569,POINT (-122.421569 37.748813),Unknown,63763_20190826,2019-08-26,87.0,Complaint,63763_20190826_103142,Unclean nonfood contact surfaces,Low Risk,53.0,53.0,3.0,5.0,20.0
1754,Fisherman'S Pizzeria Inc [#50],2800 Leavenworth St,San Francisco,CA,94133,37.807167,-122.418936,POINT (-122.418936 37.807167),Unknown,1754_20171024,2017-10-24,88.0,Routine - Unscheduled,1754_20171024_103131,Moderate risk vermin infestation,Moderate Risk,99.0,99.0,6.0,3.0,23.0
2717,Gourmet Dim Sum & Cafe,651 CLEMENT St,San Francisco,CA,94118,37.782823,-122.466359,POINT (-122.466359 37.782823),Unknown,2717_20180730,2018-07-30,78.0,Routine - Unscheduled,2717_20180730_103103,High risk food holding temperature,High Risk,5.0,5.0,8.0,4.0,11.0
2858,Kokkari,200 Jackson St,San Francisco,CA,94111,37.796918,-122.399864,POINT (-122.399864 37.796918),Unknown,2858_20190926,2019-09-26,87.0,Complaint,2858_20190926_103132,Improper thawing methods,Moderate Risk,77.0,77.0,6.0,3.0,8.0
32671,La Taqueria Guadalajara,3146 24th St,San Francisco,CA,94110,37.752512,-122.415109,POINT (-122.415109 37.752512),14155644892.0,32671_20180508,2018-05-08,75.0,Routine - Unscheduled,32671_20180508_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,53.0,53.0,3.0,2.0,20.0
